sweep,parameter,value,coh_mean,coh_min,coh_max,asym_mean,vort_mean,vel_var_mean,stress_xx_mean,stress_yy_mean,stress_xy_mean,n_samples
1,omega,1.8,0.688031,0.686000,0.689500,29.056976,0.019450,0.002282,-0.000575,0.000401,-0.000124,501
sweep,parameter,value,coh_mean,coh_min,coh_max,asym_mean,vort_mean,vel_var_mean,stress_xx_mean,stress_yy_mean,stress_xy_mean,n_samples
1,omega,1.8,0.687903,0.681600,0.690900,29.082228,0.021011,0.002314,-0.000574,0.000425,-0.000134,501
1,omega,1.805,0.687834,0.683800,0.689300,29.111093,0.019528,0.002281,-0.000577,0.000403,-0.000124,501
1,omega,1.805,0.687588,0.681100,0.690100,29.159115,0.021069,0.002314,-0.000575,0.000426,-0.000131,501
1,omega,1.81,0.687627,0.683300,0.689100,29.165541,0.019603,0.002279,-0.000579,0.000406,-0.000124,501
1,omega,1.81,0.687559,0.680800,0.690000,29.179779,0.021162,0.002312,-0.000575,0.000428,-0.000131,501
1,omega,1.815,0.687434,0.683000,0.688800,29.220293,0.019683,0.002278,-0.000581,0.000409,-0.000124,501
1,omega,1.815,0.687256,0.680700,0.690700,29.255227,0.021202,0.002313,-0.000577,0.000430,-0.000129,501
1,omega,1.82,0.687237,0.683500,0.688800,29.275167,0.019764,0.002277,-0.000583,0.000411,-0.000124,501
1,omega,1.82,0.687208,0.680800,0.691300,29.281418,0.021291,0.002311,-0.000575,0.000433,-0.000130,501
1,omega,1.825,0.687039,0.684200,0.688500,29.330505,0.019846,0.002276,-0.000585,0.000414,-0.000125,501
1,omega,1.825,0.686977,0.680900,0.691200,29.342180,0.021381,0.002313,-0.000574,0.000430,-0.000131,501
1,omega,1.83,0.686834,0.684500,0.688300,29.386274,0.019921,0.002275,-0.000586,0.000417,-0.000125,501
1,omega,1.83,0.686960,0.681000,0.692100,29.363887,0.021484,0.002310,-0.000572,0.000433,-0.000130,501
1,omega,1.835,0.686632,0.684000,0.688000,29.442229,0.020008,0.002274,-0.000589,0.000419,-0.000126,501
1,omega,1.835,0.686515,0.681100,0.689200,29.464567,0.021540,0.002315,-0.000576,0.000437,-0.000128,501
1,omega,1.84,0.686420,0.683500,0.687900,29.498542,0.020096,0.002273,-0.000591,0.000422,-0.000126,501
1,omega,1.84,0.686438,0.680900,0.690400,29.494958,0.021626,0.002310,-0.000571,0.000442,-0.000128,501
1,omega,1.845,0.686225,0.683000,0.687800,29.555276,0.020185,0.002272,-0.000593,0.000425,-0.000126,501
1,omega,1.845,0.686391,0.680900,0.692000,29.522651,0.021729,0.002309,-0.000576,0.000443,-0.000130,501
1,omega,1.85,0.686017,0.683400,0.687500,29.612672,0.020278,0.002271,-0.000595,0.000429,-0.000126,501
1,omega,1.85,0.686139,0.680900,0.691800,29.588373,0.021798,0.002310,-0.000578,0.000448,-0.000130,501
1,omega,1.855,0.685801,0.684000,0.687200,29.670394,0.020374,0.002271,-0.000598,0.000432,-0.000126,501
1,omega,1.855,0.685850,0.681000,0.689400,29.660712,0.021867,0.002310,-0.000576,0.000451,-0.000130,501
1,omega,1.86,0.685590,0.683700,0.687000,29.728691,0.020473,0.002270,-0.000599,0.000435,-0.000126,501
1,omega,1.86,0.685818,0.681400,0.690000,29.683528,0.021972,0.002309,-0.000579,0.000455,-0.000133,501
1,omega,1.865,0.685374,0.683000,0.686700,29.787597,0.020576,0.002270,-0.000601,0.000438,-0.000125,501
1,omega,1.865,0.685783,0.681500,0.692300,29.708395,0.022064,0.002306,-0.000579,0.000453,-0.000136,501
1,omega,1.87,0.685156,0.683000,0.686500,29.847138,0.020689,0.002269,-0.000602,0.000441,-0.000125,501
1,omega,1.87,0.685605,0.681500,0.692800,29.759804,0.022168,0.002306,-0.000581,0.000452,-0.000136,501
1,omega,1.875,0.684943,0.682400,0.686300,29.906785,0.020809,0.002269,-0.000603,0.000444,-0.000125,501
1,omega,1.875,0.685120,0.681000,0.689800,29.871733,0.022220,0.002309,-0.000589,0.000457,-0.000135,501
1,omega,1.88,0.684710,0.682500,0.686000,29.967395,0.020929,0.002269,-0.000604,0.000446,-0.000126,501
1,omega,1.88,0.685214,0.680600,0.691500,29.870019,0.022356,0.002306,-0.000593,0.000461,-0.000138,501
1,omega,1.885,0.684484,0.682500,0.685900,30.029308,0.021046,0.002268,-0.000605,0.000449,-0.000127,501
1,omega,1.885,0.685049,0.680000,0.691000,29.919336,0.022469,0.002305,-0.000596,0.000464,-0.000136,501
1,omega,1.89,0.684244,0.682500,0.685600,30.092985,0.021152,0.002267,-0.000607,0.000451,-0.000128,501
1,omega,1.89,0.684836,0.679700,0.691500,29.977037,0.022579,0.002306,-0.000603,0.000468,-0.000137,501
1,omega,1.895,0.684009,0.682300,0.685300,30.155564,0.021272,0.002267,-0.000611,0.000453,-0.000129,501
1,omega,1.895,0.684673,0.680100,0.691400,30.026563,0.022668,0.002304,-0.000599,0.000471,-0.000134,501
1,omega,1.9,0.683770,0.682400,0.685100,30.219206,0.021398,0.002267,-0.000615,0.000456,-0.000130,501
1,omega,1.9,0.684465,0.679900,0.692100,30.084087,0.022749,0.002305,-0.000597,0.000473,-0.000133,501
1,omega,1.905,0.683529,0.682200,0.684800,30.283825,0.021532,0.002267,-0.000618,0.000459,-0.000130,501
1,omega,1.905,0.684226,0.679700,0.691800,30.147383,0.022849,0.002305,-0.000598,0.000473,-0.000134,501
1,omega,1.91,0.683284,0.682000,0.684900,30.348972,0.021672,0.002267,-0.000622,0.000463,-0.000130,501
1,omega,1.91,0.684094,0.679900,0.691000,30.191935,0.022972,0.002305,-0.000596,0.000475,-0.000135,501
1,omega,1.915,0.683049,0.681700,0.685000,30.414220,0.021821,0.002267,-0.000626,0.000467,-0.000129,501
1,omega,1.915,0.683749,0.679800,0.690300,30.277391,0.023056,0.002305,-0.000599,0.000477,-0.000132,501
1,omega,1.92,0.682805,0.681500,0.684900,30.479885,0.021981,0.002268,-0.000627,0.000471,-0.000128,501
1,omega,1.92,0.683666,0.680000,0.691700,30.312202,0.023201,0.002306,-0.000600,0.000481,-0.000134,501
1,omega,1.925,0.682560,0.681300,0.685900,30.544736,0.022150,0.002270,-0.000627,0.000475,-0.000126,501
1,omega,1.925,0.683572,0.680500,0.692000,30.347389,0.023341,0.002305,-0.000598,0.000484,-0.000136,501
1,omega,1.93,0.682319,0.681000,0.685600,30.610296,0.022340,0.002270,-0.000626,0.000479,-0.000125,501
1,omega,1.93,0.683199,0.680200,0.690700,30.438233,0.023481,0.002309,-0.000601,0.000486,-0.000135,501
1,omega,1.935,0.684060,0.682700,0.686400,30.286536,0.023216,0.002299,-0.000596,0.000469,-0.000128,501
1,omega,1.935,0.684901,0.682400,0.691500,30.121794,0.024211,0.002322,-0.000584,0.000478,-0.000140,501
1,omega,1.94,0.684678,0.683500,0.687300,30.181254,0.023680,0.002308,-0.000580,0.000471,-0.000129,501
1,omega,1.94,0.685392,0.683400,0.690800,30.041843,0.024576,0.002330,-0.000571,0.000477,-0.000144,501
1,omega,1.945,0.685728,0.684100,0.687200,29.991958,0.024192,0.002312,-0.000572,0.000477,-0.000133,501
1,omega,1.945,0.686179,0.684400,0.690100,29.904047,0.024970,0.002333,-0.000555,0.000483,-0.000147,501
1,omega,1.95,0.686492,0.684500,0.688000,29.858879,0.024807,0.002324,-0.000549,0.000480,-0.000141,501
1,omega,1.95,0.686719,0.685200,0.689100,29.814909,0.025446,0.002342,-0.000543,0.000486,-0.000152,501
1,omega,1.955,0.686735,0.685300,0.688400,29.825371,0.025438,0.002339,-0.000541,0.000486,-0.000152,501
1,omega,1.955,0.686888,0.685300,0.689000,29.796599,0.025949,0.002354,-0.000535,0.000491,-0.000164,501
1,omega,1.96,0.687055,0.685400,0.688800,29.781145,0.026112,0.002356,-0.000531,0.000492,-0.000162,501
1,omega,1.96,0.687126,0.685300,0.688900,29.769178,0.026482,0.002368,-0.000527,0.000497,-0.000172,501
1,omega,1.965,0.687344,0.685400,0.689000,29.741844,0.026866,0.002378,-0.000522,0.000502,-0.000174,501
