
===================================================================
  P R O B E ΓÇö Stress-Response Forensics
===================================================================
  Probe A  cy 600-649:  Metabolic Injection (+mass)
  Probe B  cy 800:     Lattice Shear (top 25% rotated 90┬░)
  Probe C  cy 1100-1199: VRM Silence (omega locked 1.25)
  Probe D  cy 1400-1499: Vacuum Trap (10 particles at 10x accretion)
===================================================================

[CUDA] NVIDIA GeForce RTX 4090  SM 8.9  SMs: 128
[NVML] Idle: 41.1 W

  Power EMA: 41.1 W ΓÇö lattice re-initialized

  cyc  |  T+      |  omega  | speed range  | rho range          | enst       | part | p.mass   | M_total     | probe
  -----|----------|---------|-------------- |--------------------|------------|------|----------|-------------|------
  ** NEW GUARDIAN  T+0:00:00  cy0 b32  (0,8)  rho=1.00022  accreted=0.0048  total=1  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b33  (94,225)  rho=1.00022  accreted=0.0048  total=2  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b34  (31,191)  rho=1.00023  accreted=0.0048  total=3  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b35  (46,226)  rho=1.00023  accreted=0.0049  total=4  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b36  (9,242)  rho=1.00023  accreted=0.0049  total=5  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b37  (28,42)  rho=1.00023  accreted=0.0049  total=6  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b38  (170,33)  rho=1.00023  accreted=0.0049  total=7  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b39  (70,224)  rho=1.00023  accreted=0.0050  total=8  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b40  (90,45)  rho=1.00023  accreted=0.0050  total=9  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b41  (105,141)  rho=1.00023  accreted=0.0050  total=10  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b42  (41,127)  rho=1.00023  accreted=0.0051  total=11  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b43  (62,184)  rho=1.00024  accreted=0.0051  total=12  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b44  (229,68)  rho=1.00024  accreted=0.0051  total=13  [---]
     0 | 0:00:00 | 1.9500 | 1.215002e-04 | [0.99994,1.00067] | 1.627e-10 |   13 |     0.07 |    65580.00 | ---
     1 | 0:00:01 | 1.2736 | 2.032233e-06 | [1.00067,1.00102] | 1.343e-11 |   13 |     0.09 |    65602.66 | ---
     2 | 0:00:02 | 1.2281 | 7.367635e-07 | [1.00102,1.00102] | 1.440e-11 |   13 |     0.11 |    65602.71 | ---
     3 | 0:00:03 | 1.2505 | 7.130875e-07 | [1.00102,1.00102] | 1.499e-11 |   13 |     0.14 |    65602.74 | ---
     4 | 0:00:03 | 1.2574 | 7.500785e-07 | [1.00102,1.00102] | 1.529e-11 |   13 |     0.16 |    65602.76 | ---
     5 | 0:00:04 | 1.2498 | 7.367635e-07 | [1.00102,1.00102] | 1.492e-11 |   13 |     0.18 |    65602.78 | ---
     6 | 0:00:05 | 1.2458 | 7.514755e-07 | [1.00102,1.00102] | 1.547e-11 |   13 |     0.21 |    65602.80 | ---
     7 | 0:00:06 | 1.2501 | 7.065391e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     0.23 |    65602.83 | ---
     8 | 0:00:06 | 1.2526 | 7.288618e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     0.25 |    65602.85 | ---
     9 | 0:00:07 | 1.2897 | 7.197086e-07 | [1.00102,1.00102] | 1.494e-11 |   13 |     0.27 |    65602.87 | ---
    10 | 0:00:08 | 1.2492 | 7.196504e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     0.30 |    65602.90 | ---
    11 | 0:00:09 | 1.2328 | 7.170311e-07 | [1.00102,1.00102] | 1.460e-11 |   13 |     0.32 |    65602.92 | ---
    12 | 0:00:10 | 1.2501 | 7.301860e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     0.34 |    65602.94 | ---
    13 | 0:00:10 | 1.2508 | 7.235940e-07 | [1.00102,1.00102] | 1.484e-11 |   13 |     0.37 |    65602.96 | ---
    14 | 0:00:11 | 1.2499 | 7.131457e-07 | [1.00102,1.00102] | 1.501e-11 |   13 |     0.39 |    65602.99 | ---
    15 | 0:00:12 | 1.2502 | 7.314811e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     0.41 |    65603.01 | ---
    16 | 0:00:13 | 1.2501 | 7.012131e-07 | [1.00102,1.00102] | 1.486e-11 |   13 |     0.43 |    65603.03 | ---
    17 | 0:00:13 | 1.2528 | 7.433555e-07 | [1.00102,1.00102] | 1.514e-11 |   13 |     0.46 |    65603.06 | ---
    18 | 0:00:14 | 1.2500 | 7.143681e-07 | [1.00102,1.00102] | 1.480e-11 |   13 |     0.48 |    65603.08 | ---
    19 | 0:00:15 | 1.2498 | 7.184135e-07 | [1.00102,1.00102] | 1.497e-11 |   13 |     0.50 |    65603.10 | ---
    20 | 0:00:16 | 1.2538 | 7.170165e-07 | [1.00102,1.00102] | 1.479e-11 |   13 |     0.53 |    65603.12 | ---
    21 | 0:00:16 | 1.2504 | 7.130875e-07 | [1.00102,1.00102] | 1.484e-11 |   13 |     0.55 |    65603.15 | ---
    22 | 0:00:17 | 1.2551 | 7.156632e-07 | [1.00102,1.00102] | 1.498e-11 |   13 |     0.57 |    65603.17 | ---
    23 | 0:00:18 | 1.2499 | 7.275376e-07 | [1.00102,1.00102] | 1.492e-11 |   13 |     0.59 |    65603.19 | ---
    24 | 0:00:19 | 1.2594 | 7.196941e-07 | [1.00102,1.00102] | 1.542e-11 |   13 |     0.62 |    65603.21 | ---
    25 | 0:00:20 | 1.2500 | 7.183262e-07 | [1.00102,1.00102] | 1.501e-11 |   13 |     0.64 |    65603.24 | ---
    26 | 0:00:20 | 1.2475 | 7.288763e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     0.66 |    65603.26 | ---
    27 | 0:00:21 | 1.2499 | 7.078634e-07 | [1.00102,1.00102] | 1.496e-11 |   13 |     0.68 |    65603.28 | ---
